Sr No.,car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
1,Maruti Alto K10,51,Petrol,998,3,5,Automatic,27,Hatchback,4.5,399000,583000,89,3500,65.71,5500
2,Maruti Brezza,86,Petrol,1462,4,5,Automatic,48,SUV,4.5,799000,1396000,136.8,4400,101.65,6000
3,Mahindra Thar,242,Diesel,2184,4,4,Automatic,57,SUV,4.5,1353000,1603000,300,2800,130,3750
4,Mahindra XUV700,313,Diesel,2198,4,7,Automatic,60,SUV,4.5,1318000,2458000,450,2800,182.38,3500
5,Mahindra Scorpio-N,107,Diesel,2198,4,7,Automatic,57,SUV,4.5,1199000,2390000,400,2750,172.45,3500
6,Toyota Fortuner,99,Diesel,2755,4,7,Automatic,80,SUV,4.5,3240000,4957000,500,2800,201.15,3400
7,Hyundai Creta,731,Diesel,1493,4,5,Automatic,50,SUV,4.5,1044000,1818000,250,2750,113.45,4000
8,Tata Punch,381,Petrol,1199,3,5,Automatic,37,SUV,4.5,593000,949000,113,3400,84.48,6000
9,Mahindra Bolero,107,Diesel,1498,3,7,Manual,60,SUV,4.5,933000,1026000,210,2200,74.96,3600
10,Maruti Swift,205,Petrol,1197,4,5,Automatic,37,Hatchback,4,592000,885000,113,4400,88.5,6000
11,Tata Nexon,568,Diesel,1497,4,5,Automatic,44,SUV,4.5,760000,1408000,260,2750,108.49,4000
12,Hyundai Venue,36,Petrol,998,3,5,Automatic,45,SUV,4.5,753000,1272000,172,4000,118.41,6000
13,Kia Seltos,2171,Diesel,1493,4,5,Automatic,50,SUV,4.5,1049000,1865000,250,2750,113.43,4000
14,Hyundai Tucson,8,Diesel,1997,4,5,Automatic,54,SUV,4.5,2770000,3454000,416,2750,183.72,4000
15,Tata Harrier,2392,Diesel,1956,4,5,Automatic,50,SUV,4.5,1470000,2220000,350,2500,167.67,3750
16,Maruti Baleno,137,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,649000,971000,113,4400,88.5,6000
17,Toyota Innova Crysta,91,Diesel,2393,4,8,Automatic,55,MUV,4.5,1786000,2654000,360,2600,148,3400
18,Maruti Ertiga,110,Petrol,1462,4,7,Automatic,45,MUV,4.5,835000,1279000,136.8,4400,101.65,6000
19,Kia Sonet,523,Diesel,1493,4,5,Automatic,45,SUV,4,749000,1379000,250,2750,113.43,4000
20,Maruti Dzire,245,Petrol,1197,4,5,Automatic,37,Sedan,4.5,624000,918000,113,4400,88.5,6000
21,Honda City 4th Generation,1067,Petrol,1497,4,5,Manual,40,Sedan,4.5,950000,1000000,145,4600,117.6,6600
22,Land Rover Range Rover,17,Petrol,4367,8,7,Automatic,90,SUV,4.5,23900000,41700000,700,3000,345.98,4000
23,Tata Tiago,435,CNG,1199,3,5,Manual,60,Hatchback,4.5,540000,782000,95,3500,72,6000
24,Hyundai i20,432,Petrol,998,3,5,Automatic,37,Hatchback,3.5,703000,1154000,171.62,4000,118.36,6000
25,Mahindra XUV300,2245,Diesel,1497,4,5,Automatic,42,SUV,4.5,841000,1407000,300,2500,115,3750
26,MG Hector,200,Diesel,1956,4,5,Manual,60,SUV,4,1415000,2011000,350,2500,167.68,3750
27,Tata Altroz,1025,Diesel,1497,4,5,Manual,37,Hatchback,4.5,630000,1025000,200,3000,88.77,4000
28,Mahindra Scorpio Classic,14,Diesel,2184,4,7,Manual,60,SUV,4.5,1199000,1549000,300,2800,130.07,3750
29,Hyundai Verna,234,Diesel,1493,4,5,Automatic,45,Sedan,4.5,941000,1545000,250,2750,113.45,4000
30,Citroen C3,57,Petrol,1199,3,5,Manual,30,Hatchback,4.5,571000,806000,190,1750,108.62,5500
31,Honda City,162,Diesel,1498,4,5,Manual,40,Sedan,4.5,1157000,1552000,200,1750,97.89,3600
32,Maruti Celerio,89,Petrol,998,3,5,Automatic,32,Hatchback,3.5,525000,700000,89,3500,65.71,5500
33,Nissan Magnite,278,Petrol,999,3,5,Automatic,40,SUV,4.5,597000,1079000,152,4400,98.63,5000
34,Renault KWID,545,Petrol,999,3,5,Automatic,28,Hatchback,4.5,464000,599000,91,4250,67.06,5500
35,Land Rover Defender,13,Petrol,4997,4,7,Automatic,89,SUV,4.5,8072000,21900000,650,2500,296.36,4000
36,Maruti Alto 800,437,CNG,796,3,5,Manual,60,Hatchback,4.5,339000,503000,60,3500,40.36,6000
37,Hyundai Kona Electric,40,Electric,0,0,5,Electric,0,SUV,4.5,2384000,2403000,395,0,134.1,0
38,Tata Tigor,136,CNG,1199,3,5,Manual,60,Sedan,4.5,600000,859000,95,3500,72.4,6000
39,Renault Kiger,228,Petrol,999,3,5,Automatic,40,SUV,4.5,599000,1062000,152,4400,98.63,5000
40,Maruti S-Presso,301,Petrol,998,3,5,Automatic,27,Hatchback,4.5,425000,599000,89,3500,65.71,5500
41,MG Astor,101,Petrol,1349,3,5,Automatic,45,SUV,4.5,1022000,1813000,220,3600,138.08,5600
42,Lamborghini Urus,33,Petrol,3996,8,5,Automatic,75,SUV,4.5,31500000,34300000,850,4500,641,6000
43,Honda Amaze,85,Diesel,1498,4,5,Automatic,35,Sedan,4.5,663000,1150000,160,1750,79.12,3600
44,Renault Triber,774,Petrol,999,3,7,Automatic,40,MUV,4.5,592000,851000,96,3500,71,6250
45,Hyundai Alcazar,207,Diesel,1493,4,7,Automatic,50,SUV,4,1589000,2025000,250,2750,113.42,4000
46,Hyundai Aura,261,Petrol,998,3,5,Manual,37,Sedan,4.5,609000,887000,172,4000,98.63,6000
47,Volkswagen Virtus,69,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1122000,1792000,250,3500,147.51,6000
48,Skoda Slavia,52,Petrol,1498,4,5,Automatic,45,Sedan,4.5,1099000,1839000,250,3500,147.52,6000
49,Maruti Ignis,461,Petrol,1197,4,5,Automatic,32,Hatchback,4.5,535000,772000,113,4200,81.8,6000
50,Mercedes-Benz GLA,12,Diesel,1950,4,5,Automatic,0,SUV,4.5,4490000,4890000,400,2600,187.74,3800
51,Volvo XC90,35,Petrol,1969,4,7,Automatic,68,Hybrid,4.5,9390000,9665000,640,1740,400,0
52,Skoda Kushaq,172,Petrol,1498,4,5,Automatic,50,SUV,4.5,1129000,1949000,250,3500,147.51,6000
53,Maruti XL6,58,Petrol,1462,4,6,Automatic,45,MUV,4.5,1129000,1455000,136.8,4400,101.65,6000
54,Jeep Wrangler,18,Petrol,1998,4,5,Automatic,0,SUV,4.5,5635000,6035000,400,3000,268,5250
55,Maruti Eeco,264,Petrol,1196,4,7,Manual,65,Minivan,4.5,463000,594000,85,3000,61.68,6000
56,Force Gurkha,28,Diesel,2596,4,4,Manual,63,SUV,4.5,1449000,1449000,250,2400,89.84,3200
57,Maruti S-Cross,77,Petrol,1462,4,5,Automatic,48,SUV,4.5,895000,1292000,138,4400,103.25,6000
58,Maruti Ciaz,666,Petrol,1462,4,5,Automatic,43,Sedan,4.5,899000,1198000,138,4400,103.25,6000
59,Hyundai Santro,532,CNG,1086,4,5,Manual,60,Hatchback,4.5,490000,642000,85.3,4501,59.17,5500
60,Volkswagen Taigun,68,Petrol,1498,4,5,Automatic,50,SUV,4.5,1140000,1860000,250,3500,147.51,6000
61,BMW X7,15,Diesel,2993,6,7,Automatic,80,SUV,4.5,11800000,17800000,760,3000,394.26,4400
62,Audi Q7,9,Petrol,2995,6,7,Automatic,0,SUV,4.5,8249000,8808000,500,4500,335.25,6400
63,Toyota Vellfire,13,Petrol,2494,4,7,Automatic,58,MUV,4.5,9260000,9260000,198,4000,115.32,4700
64,Toyota Hilux,13,Diesel,2755,4,5,Automatic,80,Pickup Truck,4.5,3399000,3680000,500,2800,201.15,3400
65,MG Gloster,74,Diesel,1996,4,7,Automatic,75,SUV,4.5,3150000,3950000,480,2400,215.01,4000
66,Lamborghini Aventador,52,Petrol,6498,12,2,Automatic,90,Coupe,4.5,62500000,90000000,720,6750,759.01,8500
67,BMW X1,40,Diesel,1995,4,5,Automatic,51,SUV,4.5,4150000,4450000,400,2500,187.74,6000
68,BMW X5,28,Petrol,2998,6,5,Automatic,0,SUV,4.5,7990000,9590000,450,5200,335.26,6500
69,Toyota Camry,6,Petrol,2498,4,5,Automatic,0,Sedan,4.5,4435000,4435000,221,5200,175.67,5700
70,Volkswagen Tiguan,5,Petrol,1984,4,5,Automatic,60,SUV,4.5,3279000,3280000,320,4100,187.74,6000
71,Rolls-Royce Ghost,15,Petrol,6750,12,5,Automatic,0,Sedan,4.5,69500000,79500000,820,1500,563,5250
72,Skoda Octavia,20,Petrol,1984,4,5,Automatic,50,Sedan,4.5,2685000,2985000,320,3990,187.74,6000
73,Skoda Superb,22,Petrol,1984,4,5,Automatic,66,Sedan,4.5,3349000,3659000,320,4200,187.74,6000
74,Audi A6,19,Petrol,1984,4,5,Automatic,73,Sedan,4.5,5999000,6599000,370,4500,241.3,6500
75,Volvo XC40,20,Petrol,1969,4,5,Automatic,54,SUV,4.5,4450000,4450000,300,0,187.4,0
76,Kia EV6,15,Electric,0,0,5,Electric,0,SUV,4.5,5995000,6495000,605,0,320.55,0
77,Volvo S90,8,Petrol,1969,4,5,Automatic,60,Sedan,4.5,6590000,6590000,350,0,246.58,0
78,Honda Jazz,41,Petrol,1199,4,5,Automatic,40,Hatchback,4.5,801000,1032000,110,4800,88.5,6000
79,Land Rover Range Rover Velar,35,Petrol,1997,4,5,Automatic,82,SUV,4.5,8941000,8941000,365,4000,246.74,5500
80,Honda WR-V,81,Diesel,1498,4,5,Manual,40,SUV,4.5,911000,1231000,200,1750,97.89,3600
81,Volvo XC60,24,Petrol,1998,5,5,Automatic,70,SUV,4.5,6590000,6590000,440,3000,246.74,4000
82,Skoda Kodiaq,10,Petrol,1984,4,7,Automatic,58,SUV,4.5,3749000,3999000,320,4100,187.74,6000
83,Audi A4,23,Petrol,1998,4,5,Automatic,54,Sedan,4.5,4312000,4997000,320,4200,187.74,6000
84,BMW X3,6,Petrol,1998,4,5,Automatic,0,SUV,4.5,6190000,6790000,350,4800,248.08,5200
85,BMW Z4,12,Petrol,2998,6,2,Automatic,52,Convertible,4.5,7190000,8490000,500,4500,335,6500
86,BMW 3 Series Gran Limousine,43,Petrol,1998,4,5,Automatic,59,Sedan,4.5,4690000,6890000,400,4400,254.79,5000
87,Nissan Kicks,257,Petrol,1330,4,5,Automatic,50,SUV,4.5,950000,1490000,254,1600,153.87,5500
88,Mahindra Marazzo,321,Diesel,1497,4,8,Manual,45,MUV,4.5,1317000,1544000,300,2500,120.96,3500
89,Mercedes-Benz C-Class,11,Diesel,1993,4,5,Automatic,0,Sedan,4.5,5500000,6100000,550,2200,261.49,4200
90,BMW X6,4,Petrol,2998,6,5,Automatic,83,Luxury,4.5,10400000,10400000,450,5200,335.25,6500
91,Mahindra Alturas G4,122,Diesel,2157,4,7,Automatic,70,SUV,4.5,3188000,3188000,420,2600,178.49,3800
92,Bajaj Qute (RE60),43,CNG,216,1,4,Manual,35,Hatchback,4,361000,361000,16.1,4000,10.8,5500
93,Volkswagen Vento,94,Petrol,999,3,5,Automatic,55,Sedan,4.5,1000000,1444000,175,4000,108.62,5500
94,Audi Q5,3,Petrol,1984,4,5,Manual,0,SUV,4.5,5990000,6555000,370,4300,245.59,6000
95,Ferrari Roma,2,Petrol,3855,8,2,Automatic,80,Coupe,4.5,37600000,37600000,760,5750,611.5,7500
96,MG ZS EV,14,Electric,0,0,5,Electric,0,SUV,4.5,2200000,2588000,280,0,173.83,0
97,BMW 7 Series,16,Petrol,2998,6,4,Automatic,46,Sedan,4.5,14200000,17600000,450,5000,281.6,6000
98,Mercedes-Benz E-Class,8,Diesel,2925,6,5,Automatic,0,Sedan,4.5,6700000,8500000,600,3200,281.61,4600
